miRNA,D0PF1,D0PF2,D0SAG1,D0SAG2,D7PF1,D7PF2,D7SAG1,D7SAG2
mmu-miR-7042-3p,1,0,0,1,0,0,0,0
mmu-miR-7041-5p,0,1,2,2,1,0,0,0
mmu-miR-7041-3p,0,0,0,1,0,0,0,0
mmu-miR-7040-5p,5,0,1,2,1,0,6,3
mmu-miR-7040-3p,0,0,1,0,0,0,1,0
mmu-miR-704,1,1,2,0,0,1,1,1
mmu-miR-7039-5p,0,4,4,3,0,1,0,2
mmu-miR-7038-5p,3,2,3,1,0,0,0,0
mmu-miR-7038-3p,0,1,1,2,1,0,3,0
mmu-miR-7037-5p,1,0,2,1,1,0,0,0
mmu-miR-7037-3p,1,0,1,0,0,0,1,0
mmu-miR-7036b-5p,8,6,4,10,8,3,3,4
mmu-miR-7036b-3p,1,1,0,0,0,0,0,1
mmu-miR-7036a-5p,1,0,1,1,0,1,1,0
mmu-miR-7036a-3p,0,0,3,2,1,0,0,0
mmu-miR-7035-5p,0,1,0,2,1,0,0,3
mmu-miR-7035-3p,4,1,3,4,2,1,6,10
mmu-miR-7034-5p,0,0,0,2,0,0,0,0
mmu-miR-7034-3p,3,0,6,2,3,2,2,2
mmu-miR-7033-5p,12,8,16,3,5,5,7,5
mmu-miR-7033-3p,0,0,2,0,0,0,0,0
mmu-miR-7032-5p,3,2,0,0,0,0,0,0
mmu-miR-7032-3p,1,2,1,3,2,0,0,3
mmu-miR-7031-5p,1,7,4,2,3,1,4,2
mmu-miR-7031-3p,1,0,0,0,0,0,1,3
mmu-miR-7030-5p,1,1,1,0,0,0,0,0
mmu-miR-7030-3p,1,0,0,0,0,0,0,0
mmu-miR-703,0,0,0,0,2,0,0,1
mmu-miR-7029-5p,1,6,6,6,2,1,2,6
mmu-miR-7029-3p,3,1,0,0,5,0,1,1
mmu-miR-7028-5p,2,0,1,0,0,0,0,1
mmu-miR-7027-5p,1,0,1,0,1,0,1,0
mmu-miR-7027-3p,4,0,1,1,2,0,0,1
mmu-miR-7026-5p,3,2,11,5,3,1,2,4
mmu-miR-7026-3p,0,0,0,0,0,1,0,0
mmu-miR-7025-5p,0,0,0,1,1,1,0,0
mmu-miR-7025-3p,37,31,40,27,27,18,27,27
mmu-miR-7024-5p,0,3,0,5,0,0,0,1
mmu-miR-7024-3p,2,2,1,2,2,1,2,3
mmu-miR-7023-5p,0,0,0,0,2,0,0,0
mmu-miR-7023-3p,0,0,0,0,1,0,0,0
mmu-miR-7022-5p,1,1,2,0,2,1,0,0
mmu-miR-7022-3p,0,0,0,0,0,0,2,0
mmu-miR-7021-5p,23,18,10,17,15,22,16,6
mmu-miR-7021-3p,0,0,1,0,0,0,0,0
mmu-miR-7020-5p,0,0,1,0,0,0,0,0
mmu-miR-7020-3p,0,1,0,0,0,0,0,0
mmu-miR-702-5p,8,5,4,8,2,0,5,6
mmu-miR-702-3p,22,28,25,16,9,11,17,19
mmu-miR-7019-5p,0,1,0,0,1,0,1,0
mmu-miR-7019-3p,3,3,4,5,5,1,3,1
mmu-miR-7018-5p,0,0,0,1,0,1,1,1
