miRNA,D0PF1,D0PF2,D0SAG1,D0SAG2,D7PF1,D7PF2,D7SAG1,D7SAG2
mmu-miR-323-5p,11,11,14,16,17,12,11,11
mmu-miR-323-3p,1563,807,1271,1541,1721,1096,1976,1423
mmu-miR-322-5p,7774,4249,3393,3836,37422,22847,30142,18004
mmu-miR-322-3p,27917,17917,17900,17633,92844,56439,83082,42448
mmu-miR-320-5p,1,0,2,1,0,2,1,1
mmu-miR-320-3p,17221,11057,16971,14606,17104,11727,14815,11523
mmu-miR-32-5p,2127,1214,1208,1348,2087,1230,2699,1972
mmu-miR-32-3p,234,115,69,118,214,133,204,94
mmu-miR-3154,4,4,4,8,9,4,8,11
mmu-miR-3113-5p,8,3,2,2,1,0,1,5
mmu-miR-3113-3p,0,0,0,0,1,0,0,0
mmu-miR-3112-5p,2,0,3,5,1,1,6,3
mmu-miR-3112-3p,2,1,0,1,1,1,2,0
mmu-miR-3110-5p,159,217,201,124,66,32,138,111
mmu-miR-3110-3p,3,7,2,1,1,0,1,2
mmu-miR-3109-5p,77,79,87,67,33,25,48,44
mmu-miR-3109-3p,106,101,147,97,62,50,79,91
mmu-miR-3108-5p,55,31,40,42,34,11,36,21
mmu-miR-3108-3p,4,3,2,2,1,0,1,3
mmu-miR-3105-5p,3,1,3,2,1,0,0,0
mmu-miR-3105-3p,36,27,40,23,0,3,27,13
mmu-miR-3103-5p,2,0,1,1,1,0,2,0
mmu-miR-3103-3p,11,7,6,3,6,7,5,3
mmu-miR-3102-5p.2-5p,202,161,209,170,141,92,135,134
mmu-miR-3102-5p,7,4,8,14,6,0,7,0
mmu-miR-3102-3p.2-3p,173,218,245,173,103,63,166,172
mmu-miR-3102-3p,4580,5641,5588,3892,2120,1306,3254,2740
mmu-miR-3101-5p,9,0,3,7,14,4,4,10
mmu-miR-3101-3p,2,1,1,0,1,0,1,2
mmu-miR-3100-5p,2,3,2,0,1,2,2,2
mmu-miR-31-5p,34903,32610,33446,27711,26987,19491,47338,37224
mmu-miR-31-3p,2955,3067,2266,1882,2341,1419,4826,3445
mmu-miR-30e-5p,150004,125763,138233,107950,206995,114754,228519,169769
mmu-miR-30e-3p,3509,2068,1667,2856,3917,2702,4792,2417
mmu-miR-30d-5p,183629,139811,183449,152838,162924,89224,149170,123224
mmu-miR-30d-3p,1516,1006,1102,1244,1160,753,1214,821
mmu-miR-30c-5p,83694,56730,54511,36641,74045,60512,143510,78477
mmu-miR-30c-2-3p,2201,1694,1833,1664,1008,770,1358,939
mmu-miR-30c-1-3p,235,189,181,187,251,155,256,190
mmu-miR-30b-5p,26826,14473,14769,16108,43483,19279,35859,24844
mmu-miR-30b-3p,1253,881,883,832,740,453,681,543
mmu-miR-30a-5p,254841,241395,270450,199737,172475,110314,235885,195012
mmu-miR-30a-3p,6677,4143,3665,5540,4317,3198,6095,3655
mmu-miR-3099-3p,10,2,6,5,12,3,8,11
mmu-miR-3098-5p,21,14,11,4,6,2,12,5
mmu-miR-3098-3p,21,18,17,12,13,4,11,13
mmu-miR-3097-5p,7,7,7,11,8,2,10,12
mmu-miR-3097-3p,8,2,14,14,6,4,8,7
mmu-miR-3095-5p,26,20,8,21,15,12,26,15
mmu-miR-3095-3p,182,136,152,144,87,75,115,76
mmu-miR-3094-5p,20,7,8,8,10,4,11,15
mmu-miR-3094-3p,0,3,0,4,3,0,1,2
mmu-miR-3093-5p,2,0,0,0,0,0,0,0
mmu-miR-3092-5p,1,0,0,0,0,0,0,0
mmu-miR-3092-3p,18,21,14,15,9,2,11,13
mmu-miR-3091-5p,4,4,2,0,0,0,3,7
mmu-miR-3091-3p,38,59,46,27,15,17,24,17
mmu-miR-3090-5p,0,0,0,0,0,0,0,2
mmu-miR-3090-3p,6,1,2,4,14,6,12,11
mmu-miR-3089-5p,8,0,0,2,0,0,0,0
mmu-miR-3089-3p,50,47,55,57,9,8,32,30
mmu-miR-3088-5p,0,1,0,0,0,0,0,1
mmu-miR-3088-3p,9,0,2,7,5,4,5,1
mmu-miR-3087-5p,1,0,2,0,0,0,0,0
mmu-miR-3087-3p,0,3,0,0,1,0,0,0
mmu-miR-3086-5p,14,6,5,4,3,2,7,0
mmu-miR-3086-3p,3,1,0,0,2,0,0,0
mmu-miR-3085-5p,1,0,0,0,0,0,0,0
mmu-miR-3085-3p,3,0,6,1,0,0,0,0
mmu-miR-3084-5p,33,21,13,24,20,19,40,22
mmu-miR-3084-3p,104,113,65,70,88,47,106,86
mmu-miR-3083b-5p,1,0,0,2,0,0,0,2
mmu-miR-3083b-3p,0,0,0,0,0,0,1,2
mmu-miR-3083-5p,7,4,10,9,7,11,8,5
mmu-miR-3083-3p,3,0,1,0,3,1,1,2
mmu-miR-3082-5p,1,3,1,3,4,0,2,3
mmu-miR-3082-3p,21,21,19,23,20,6,24,15
mmu-miR-3081-5p,2,0,2,2,2,1,6,0
mmu-miR-3081-3p,414,479,552,356,256,170,325,249
mmu-miR-3080-5p,15,4,8,10,8,6,9,12
mmu-miR-3080-3p,19,10,4,7,6,3,4,5
mmu-miR-3079-5p,12,10,6,8,14,11,10,12
mmu-miR-3079-3p,2,1,0,4,6,0,6,4
mmu-miR-3078-5p,0,0,8,2,0,0,1,0
mmu-miR-3077-5p,3,9,8,5,1,1,1,1
mmu-miR-3077-3p,3,6,7,10,3,2,7,4
mmu-miR-3076-5p,3,8,5,4,6,3,5,5
mmu-miR-3076-3p,27,21,16,21,24,9,23,21
mmu-miR-3075-5p,28,29,33,24,6,1,7,11
mmu-miR-3075-3p,0,0,0,1,0,0,0,0
mmu-miR-3074-5p,45,19,40,28,29,8,15,15
mmu-miR-3074-2-3p,0,0,0,3,0,1,0,1
mmu-miR-3074-1-3p,17,6,9,4,6,4,4,1
mmu-miR-3073a-5p,0,0,0,0,0,0,1,0
mmu-miR-3073a-3p,10,8,4,10,26,22,52,34
mmu-miR-3072-5p,18,40,56,40,22,19,43,28
mmu-miR-3072-3p,623,766,1191,800,639,332,1067,924
mmu-miR-3071-3p,1,0,0,0,0,0,0,0
mmu-miR-3070-5p,2,6,11,2,4,1,15,3
mmu-miR-3070-3p,11,13,12,7,14,7,26,28
mmu-miR-3070-2-3p,11,3,1,9,5,6,22,13
mmu-miR-3069-5p,5,8,9,13,6,7,8,14
mmu-miR-3069-3p,20,21,22,21,19,7,32,25
mmu-miR-3068-5p,7355,6873,9550,6286,5887,3536,9428,9602
mmu-miR-3068-3p,1387,1047,1454,1353,1052,626,1347,1165
mmu-miR-3067-5p,1,0,1,4,3,0,0,2
mmu-miR-3067-3p,0,1,2,1,1,0,0,0
mmu-miR-3066-5p,100,50,38,72,67,43,76,52
mmu-miR-3066-3p,23,15,10,13,9,5,6,3
mmu-miR-3065-5p,15,18,28,17,10,9,5,9
mmu-miR-3065-3p,1,0,0,3,0,0,2,0
mmu-miR-3064-5p,30,19,29,37,35,12,37,21
mmu-miR-3064-3p,30,23,30,32,24,7,33,41
mmu-miR-3063-5p,0,1,3,1,0,0,0,3
mmu-miR-3063-3p,21,24,23,15,3,0,14,2
mmu-miR-3062-5p,39,18,31,35,15,11,26,17
mmu-miR-3061-5p,27,21,29,35,19,13,32,38
mmu-miR-3061-3p,49,46,47,38,6,9,8,18
mmu-miR-3060-5p,1,2,1,0,0,0,0,0
mmu-miR-3060-3p,47,32,52,41,33,18,30,37
mmu-miR-3059-5p,11,5,1,1,32,12,6,5
mmu-miR-3058-5p,23,23,23,16,20,9,26,22
mmu-miR-3058-3p,7,6,5,7,1,5,8,6
mmu-miR-3057-5p,29,26,28,21,18,10,25,11
mmu-miR-3057-3p,42,37,40,55,8,13,22,31
mmu-miR-302d-3p,0,1,2,1,0,0,0,0
mmu-miR-302b-3p,0,0,0,0,0,0,0,1
mmu-miR-301b-5p,11,11,5,14,19,6,6,9
mmu-miR-301b-3p,93,67,68,63,144,46,91,87
mmu-miR-301a-5p,1429,1454,1662,1189,593,419,998,859
mmu-miR-301a-3p,6337,5114,5269,4933,4072,2049,5257,4227
mmu-miR-300-5p,296,241,268,283,334,175,432,303
mmu-miR-300-3p,46375,40983,61025,45010,40364,28428,66390,53963
mmu-miR-29c-5p,116,67,106,77,83,52,123,121
mmu-miR-29c-3p,2049,1562,2404,1852,2190,1161,2491,2288
mmu-miR-29b-3p,4003,3589,4459,4149,3695,2026,6069,5177
mmu-miR-29b-2-5p,216,171,263,205,188,132,235,198
mmu-miR-29b-1-5p,246,156,59,182,83,107,147,92
mmu-miR-29a-5p,617,469,355,508,418,216,483,388
mmu-miR-29a-3p,461087,308066,457418,423911,215755,141626,363263,354451
mmu-miR-299b-5p,5,4,4,3,3,5,14,4
mmu-miR-299b-3p,19,12414,6,11,30,14,38,26
mmu-miR-299a-5p,8378,4180,5275,7424,8773,5314,13531,9223
mmu-miR-299a-3p,15956,12418,17925,15363,19614,13289,32370,24203
mmu-miR-298-5p,18974,16154,19995,14856,9399,6771,16816,13354
mmu-miR-298-3p,120,157,124,86,44,23,64,47
mmu-miR-297c-5p,19,21,21,14,10,4,28,30
mmu-miR-297c-3p,423,163,239,367,405,225,633,378
mmu-miR-297b-5p,102,72,113,96,68,65,179,135
mmu-miR-297b-3p,423,163,239,367,405,225,633,378
mmu-miR-297a-5p,117,88,116,100,71,40,142,98
mmu-miR-297a-3p,423,163,239,367,405,225,633,378
mmu-miR-296-5p,3350,2496,3755,3272,2476,1225,2672,2771
mmu-miR-296-3p,8337,10533,10192,6650,4396,3047,6247,5649
mmu-miR-295-5p,1,0,1,0,0,0,0,0
mmu-miR-295-3p,3,0,2,2,7,3,9,3
mmu-miR-294-5p,0,0,0,0,0,0,1,1
mmu-miR-294-3p,0,0,0,1,0,0,3,2
mmu-miR-293-5p,1,0,1,0,0,0,0,0
mmu-miR-293-3p,9,3,1,1,5,3,2,9
mmu-miR-292b-5p,0,0,2,0,0,0,0,0
mmu-miR-292a-5p,3,0,4,0,4,5,3,6
mmu-miR-292a-3p,0,0,0,0,1,2,0,1
mmu-miR-291a-5p,1,0,0,0,1,1,0,0
mmu-miR-291a-3p,0,0,0,0,2,0,0,0
mmu-miR-290a-5p,0,0,0,0,2,3,2,0
mmu-miR-28c,5,5538,2,1,1,3,1,1
mmu-miR-28a-5p,12424,5554,7027,10926,10827,7873,12446,8675
mmu-miR-28a-3p,8329,6606,9427,9346,7028,4717,8223,5695
mmu-miR-27b-5p,3409,2383,2643,2466,1345,1024,2187,1656
mmu-miR-27b-3p,870768,505177,636481,655001,642366,418774,774149,595353
mmu-miR-27a-5p,5934,5640,6802,5566,2079,1192,2491,2113
mmu-miR-27a-3p,113416,74531,105950,98128,75731,43699,90499,83941
mmu-miR-26b-5p,91044,42697,29969,78233,92042,61758,109100,45197
mmu-miR-26b-3p,416,272,248,252,292,189,403,317
mmu-miR-26a-5p,519150,271249,326283,399439,434546,282585,477591,289525
mmu-miR-26a-2-3p,1012,518,261,644,695,465,812,386
mmu-miR-26a-1-3p,177,89,77,103,93,55,102,55
mmu-miR-25-5p,414,398,402,269,189,98,216,197
mmu-miR-25-3p,69694,51512,61967,58776,47772,29914,46333,39195
mmu-miR-24-3p,197850,175429,213947,166530,112562,63457,171118,153656
mmu-miR-24-2-5p,10940,9599,13952,13068,7080,3859,10418,9498
mmu-miR-24-1-5p,646,463,514,503,521,326,852,770
mmu-miR-23b-5p,897,561,703,857,316,233,288,382
mmu-miR-23b-3p,129000,79964,90073,94340,78619,43615,105687,87719
mmu-miR-23a-5p,125,92,155,138,42,22,43,57
mmu-miR-23a-3p,295843,155838,176116,238772,135535,74419,196165,151055
mmu-miR-224-5p,3111,1757,1289,2808,3352,2581,3367,1980
mmu-miR-224-3p,33,13,18,17,19,8,26,12
mmu-miR-223-5p,260,126,32,59,1281,612,399,335
mmu-miR-223-3p,4857,1584,366,754,24258,9190,5598,5547
mmu-miR-222-5p,587,478,442,416,331,206,311,273
mmu-miR-222-3p,39572,35523,39306,29950,16384,12870,25427,24109
mmu-miR-221-5p,4170,3065,2478,3117,4092,2439,4689,3476
mmu-miR-221-3p,118161,86835,121899,119116,53825,38192,72105,67929
mmu-miR-22-5p,7203,4295,4883,7950,4540,2878,6540,5119
mmu-miR-22-3p,660644,434778,733329,632366,298684,193820,470806,458532
mmu-miR-21c,0,1,0,1,1,0,1,1
mmu-miR-21a-5p,3937820,2535738,5251157,3400740,7602399,4232036,4508334,5981013
mmu-miR-21a-3p,9937,5210,13597,12787,13446,15007,10923,8570
mmu-miR-219c-5p,37,30,39,31,21,11,24,16
mmu-miR-219c-3p,2,1,1,1,2,1,0,4
mmu-miR-219b-5p,3,4,6,6,1,3,0,1
mmu-miR-219b-3p,6,3,11,7,5,0,9,9
mmu-miR-219a-5p,10,10,12,6,23,10,31,18
mmu-miR-219a-2-3p,0,0,2,2,0,1,1,0
mmu-miR-219a-1-3p,91,73,107,81,44,41,61,68
mmu-miR-218-5p,14168,8191,8428,8870,10262,6962,9582,6860
mmu-miR-218-2-3p,32,27,16,8,11,6,9,10
mmu-miR-218-1-3p,68,40,37,65,101,49,59,57
mmu-miR-217-5p,0,3,4,15,2,0,1,0
mmu-miR-216c-5p,3,1,0,1,0,0,1,0
mmu-miR-216c-3p,1,1,0,2,0,0,0,0
mmu-miR-216b-5p,0,0,0,2,1,1,0,0
mmu-miR-216b-3p,0,0,0,3,0,0,1,0
mmu-miR-216a-5p,0,0,0,4,0,0,1,1
mmu-miR-215-5p,128,72,109,113,28,18,58,81
mmu-miR-215-3p,2,1,1,2,0,0,1,0
mmu-miR-214-5p,8402,7220,9644,7530,5569,3146,8154,6874
mmu-miR-214-3p,96617,75906,99919,88280,76524,36693,93318,80872
mmu-miR-2136,0,1,0,0,0,0,0,0
mmu-miR-212-5p,1596,1029,1414,1231,485,357,973,889
mmu-miR-212-3p,903,825,846,729,313,201,419,493
mmu-miR-211-5p,1,0,1,2,1,0,1,1
mmu-miR-210-5p,73,58,65,51,186,78,118,92
mmu-miR-210-3p,13105,8415,9090,7463,29861,13591,23470,16902
mmu-miR-20b-5p,3,9,7,7,0,1,11,4
mmu-miR-20b-3p,0,0,0,1,0,0,0,0
mmu-miR-20a-5p,66947,38063,40035,39086,35125,20191,22286,16813
mmu-miR-20a-3p,245,139,143,162,102,53,89,61
mmu-miR-208b-3p,0,1,0,6,0,0,0,0
mmu-miR-208a-3p,0,0,0,1,0,0,2,0
mmu-miR-207,0,1,0,0,0,0,0,0
mmu-miR-206-5p,2,0,0,0,0,0,0,0
mmu-miR-206-3p,0,1,0,4,3,0,0,1
mmu-miR-205-5p,15,17,47,18,9,9,42,16
mmu-miR-204-5p,286,155,2344,2239,1248,810,4316,1945
mmu-miR-204-3p,1,0,31,9,8,0,15,7
mmu-miR-203b-3p,0,0,0,1,2,1,1,5
mmu-miR-203-5p,0,0,0,0,6,1,6,5
mmu-miR-203-3p,537,250,352,338,1556,1063,1551,806
mmu-miR-202-5p,1,1,0,2,1,0,0,0
mmu-miR-201-5p,1,0,2,2,13,13,25,30
mmu-miR-201-3p,0,0,0,0,0,1,0,0
mmu-miR-200c-5p,1,1,0,0,1,0,0,0
mmu-miR-200c-3p,78,39,38,64,146,55,73,37
mmu-miR-200b-5p,2,0,1,0,3,0,1,1
mmu-miR-200b-3p,68,32,33,53,49,32,59,54
mmu-miR-200a-5p,1,1,0,0,0,0,0,1
mmu-miR-200a-3p,97,95,109,84,35,21,79,129
mmu-miR-1b-5p,4,4,0,9,2,4,5,1
mmu-miR-1b-3p,22,12,14,17,14,8,9,11
mmu-miR-1a-3p,0,0,0,0,0,0,1,0
mmu-miR-1a-2-5p,0,1,2,0,1,0,0,1
mmu-miR-1a-1-5p,0,0,0,1,0,0,0,0
mmu-miR-19b-3p,50577,28921,33100,34873,23801,11111,18974,15479
mmu-miR-19b-1-5p,80,60,51,57,35,21,37,32
mmu-miR-19a-5p,4,3,3,3,4,2,2,6
mmu-miR-19a-3p,14042,8008,7419,7836,6539,3160,5332,4186
mmu-miR-199b-5p,196211,132751,121131,98355,254331,174166,283280,227353
mmu-miR-199b-3p,1247618,627242,937492,1162117,1411012,1000195,1788693,1093936
mmu-miR-199a-5p,1956056,1587537,2488408,1777073,1472280,900246,1947022,1728886
mmu-miR-199a-3p,1247618,627242,937492,1162117,1411012,1000195,1788693,1093936
mmu-miR-1983,24763,14744,17980,18835,5152,4187,11901,10394
mmu-miR-1982-5p,0,1,0,1,0,0,0,0
mmu-miR-1982-3p,19,23,13,22,25,24,31,36
mmu-miR-1981-5p,886,797,1126,981,674,427,588,481
mmu-miR-1981-3p,444,360,471,403,343,215,430,302
mmu-miR-1970c-5p,3,2,5,2,1,4,4,0
mmu-miR-1970c-3p,3,0,1,2,1,0,0,1
mmu-miR-1970b-5p,10,4,6,11,0,0,3,3
mmu-miR-1970,0,1,0,1,1,0,2,0
mmu-miR-196b-5p,3,1,0,1,1,7,9,2
mmu-miR-196a-5p,49,72,4,33,65,69,98,61
mmu-miR-196a-1-3p,11,4,1,2,5,9,16,22
mmu-miR-1969,24,17,16,25,19,10,24,12
mmu-miR-1968-5p,5,4,8,5,3,0,7,1
mmu-miR-1967,0,0,2,0,1,0,0,0
mmu-miR-1966-5p,3,1,1,2,1,2,3,3
mmu-miR-1966-3p,3,7,3,2,4,4,4,7
mmu-miR-1964-5p,0,0,3,0,5,1,2,0
mmu-miR-1964-3p,178,167,179,151,128,80,107,130
mmu-miR-1960,8,8,5,11,2,1,3,7
mmu-miR-195a-5p,2116,750,1100,1324,5538,2468,4243,2559
mmu-miR-195a-3p,164,104,109,97,240,140,230,199
mmu-miR-1958,5,1,4,4,4,4,4,3
mmu-miR-1956,3,0,0,0,1,1,0,0
mmu-miR-1955-5p,86,78,72,83,49,34,63,54
mmu-miR-1955-3p,13,19,23,16,9,2,11,12
mmu-miR-1954,16,14,7,6,6,2,14,7
mmu-miR-1953,38,33,23,25,27,27,26,27
mmu-miR-1951,2,1,0,0,0,0,1,0
mmu-miR-1950,6,5,12,11,9,5,11,4
mmu-miR-1949,78,86,80,51,47,22,52,36
mmu-miR-1948-5p,95,36,31,45,107,67,75,56
mmu-miR-1948-3p,101,49,53,54,72,61,81,63
mmu-miR-1947-5p,5,6,12,8,19,6,15,7
mmu-miR-1946b,17,13,20,14,1,0,12,10
mmu-miR-1946a,16,18,13,15,1,2,8,8
mmu-miR-1945,71,59,88,73,15,17,33,42
mmu-miR-1943-5p,224,187,312,210,190,101,215,206
mmu-miR-1943-3p,97,118,127,66,53,40,69,75
mmu-miR-1941-5p,0,1,1,2,1,0,1,0
mmu-miR-1941-3p,7,9,0,11,6,2,5,4
mmu-miR-194-5p,8383,6003,7935,7502,5583,3326,6794,4904
mmu-miR-194-2-3p,31,25,9,25,15,7,22,10
mmu-miR-194-1-3p,0,2,2,0,0,0,1,1
mmu-miR-193b-5p,106,73,66,63,205,117,170,141
mmu-miR-193b-3p,2957,2424,2343,1911,8009,3667,7394,5973
mmu-miR-193a-5p,1353,989,1925,1762,788,551,886,789
mmu-miR-193a-3p,326,280,382,274,961,466,488,424
mmu-miR-1938,5,10,2,6,5,4,2,1
mmu-miR-1936,1,1,1,1,0,0,1,0
mmu-miR-1934-5p,43,43,47,31,32,26,19,32
mmu-miR-1934-3p,13,3,8,5,7,4,1,3
mmu-miR-1933-5p,6,4,2,12,6,4,9,2
mmu-miR-1933-3p,21,24,21,14,8,7,17,9
mmu-miR-1932,1,0,1,1,0,1,2,1
mmu-miR-1931,9,20,7,7,8,6,5,10
mmu-miR-1930-5p,47,40,37,39,39,22,46,54
mmu-miR-1930-3p,4,5,6,6,1,2,3,2
mmu-miR-1929-5p,17,8,5,8,13,9,17,15
mmu-miR-1929-3p,1,0,1,0,1,0,1,0
mmu-miR-1927,6,9,11,4,3,1,5,0
mmu-miR-192-5p,4967,3471,4610,3885,3420,2114,4455,3374
mmu-miR-192-3p,10,1,4,3,1,0,4,4
mmu-miR-1912-5p,0,2,29,9,0,0,0,1
mmu-miR-1912-3p,1,0,16,9,0,0,5,2
mmu-miR-191-5p,114373,81293,126281,101514,113540,71293,126387,108532
mmu-miR-191-3p,257,153,189,200,179,117,277,202
mmu-miR-190b-5p,154,109,71,142,95,55,167,77
mmu-miR-190b-3p,14,3,9,8,5,5,4,10
mmu-miR-190a-5p,3165,2339,1892,2613,1445,1002,3254,1924
mmu-miR-190a-3p,158,121,102,110,99,65,153,127
mmu-miR-1902,0,0,0,0,0,1,0,0
mmu-miR-18b-5p,1,2,3,3,0,1,0,0
mmu-miR-18b-3p,0,1,0,0,0,0,0,0
mmu-miR-18a-5p,5758,4104,3974,3664,1960,1140,1667,1397
mmu-miR-18a-3p,151,175,183,141,93,31,70,61
mmu-miR-1895,2,2,5,1,14,15,7,13
mmu-miR-1893,0,1,0,0,0,0,0,0
mmu-miR-188-5p,239,209,165,136,699,295,519,412
mmu-miR-188-3p,65,61,42,26,141,55,96,96
mmu-miR-187-5p,5,8,8,10,2,1,10,14
mmu-miR-187-3p,81,66,115,93,70,39,117,112
mmu-miR-186-5p,36213,27552,34782,31748,20979,12290,26220,20946
mmu-miR-186-3p,263,168,117,157,145,109,160,168
mmu-miR-185-5p,18801,12756,22408,17824,19799,11662,17749,14558
mmu-miR-185-3p,275,354,407,273,221,142,238,237
mmu-miR-1843b-5p,2097,1574,2502,2062,1639,1130,2502,2190
mmu-miR-1843b-3p,202,140,179,194,211,131,248,216
mmu-miR-1843a-5p,2134,1604,2444,2053,1837,1298,2715,2401
mmu-miR-1843a-3p,76,49,75,88,124,96,151,97
mmu-miR-184-5p,1,0,0,0,0,1,1,5
mmu-miR-184-3p,264,171,213,257,1821,1340,2520,2121
mmu-miR-1839-5p,4995,2446,3021,4694,5900,3947,6219,3656
mmu-miR-1839-3p,426,260,337,322,430,221,474,419
mmu-miR-183-5p,401,205,2943,1481,342,228,824,407
mmu-miR-183-3p,3,0,12,3,4,1,4,0
mmu-miR-182-5p,720,460,4169,2382,565,342,1205,641
mmu-miR-182-3p,0,0,4,3,0,0,0,0
mmu-miR-181d-5p,5018,3901,4236,4825,3343,2399,4739,2943
mmu-miR-181d-3p,15,17,18,12,9,6,19,14
mmu-miR-181c-5p,5315,3402,4560,4442,1609,1055,2489,2120
mmu-miR-181c-3p,544,432,525,418,596,345,600,435
mmu-miR-181b-5p,31576,23020,35442,33428,36213,23310,47853,32534
mmu-miR-181b-2-3p,34,24,26,36,26,26,39,39
mmu-miR-181b-1-3p,323,189,289,301,330,193,410,271
mmu-miR-181a-5p,89545,63436,111315,91866,87642,52649,147468,93451
mmu-miR-181a-2-3p,277,178,251,207,509,362,614,544
mmu-miR-181a-1-3p,2897,1921,3073,2706,3614,2245,4733,3243
mmu-miR-17-5p,39864,25706,26961,22450,16449,8965,11841,9855
mmu-miR-17-3p,8111,6711,6913,5292,3793,1856,2995,2976
mmu-miR-16-5p,55473,29439,27061,33048,110594,50775,63739,42300
mmu-miR-16-2-3p,717,423,377,461,569,285,565,414
mmu-miR-16-1-3p,1990,1837,1126,886,2517,1771,2068,1568
mmu-miR-15b-5p,19766,8865,8732,11917,19356,12700,21382,13837
mmu-miR-15b-3p,4586,2752,2684,2762,4061,2454,4355,2970
mmu-miR-15a-5p,6810,4202,3893,3969,11475,6630,7616,5468
mmu-miR-15a-3p,483,570,276,195,628,369,472,428
mmu-miR-155-5p,9609,4463,2602,6341,1634,1076,4213,2272
mmu-miR-155-3p,49,21,27,22,5,2,8,15
mmu-miR-154-5p,3646,2614,3637,3233,4540,1736,4904,4742
mmu-miR-154-3p,2415,1185,1555,2219,3515,2018,5752,3798
mmu-miR-153-5p,0,1,2,1,0,0,2,5
mmu-miR-153-3p,9,1,55,35,3,3,32,19
mmu-miR-152-5p,4242,3982,4605,3076,4222,2487,5767,4508
mmu-miR-152-3p,225022,141602,183663,163975,277357,175378,325003,225147
mmu-miR-151-5p,52815,33265,44149,45288,45409,31099,50924,40455
mmu-miR-151-3p,14828,16273,18256,11764,9170,5595,12292,9856
mmu-miR-150-5p,39,25,23,47,38,31,44,34
mmu-miR-150-3p,1,0,3,3,0,0,1,1
mmu-miR-149-5p,12960,9064,11004,10433,7565,4799,9824,9217
mmu-miR-149-3p,10,4,2,5,9,6,12,12
mmu-miR-148b-5p,597,386,308,438,430,235,594,417
mmu-miR-148b-3p,23247,13688,17884,17730,12493,9794,20963,15366
mmu-miR-148a-5p,1773,1147,1128,877,1748,989,1676,1282
mmu-miR-148a-3p,277302,199313,223682,194949,229593,161409,251354,173678
mmu-miR-147-5p,33,8,25,15,20,16,40,14
mmu-miR-147-3p,238,160,159,134,159,103,206,153
mmu-miR-146b-5p,7741,4101,3822,3503,13745,8135,12358,7564
mmu-miR-146b-3p,40,35,31,23,44,29,49,39
mmu-miR-146a-5p,10010,4049,4043,4853,50130,19274,11860,11716
mmu-miR-146a-3p,9,5,1,9,44,26,13,19
mmu-miR-145b,1,4,0,3,1,2,0,1
mmu-miR-145a-5p,87569,73165,57876,96557,76632,35643,91049,75619
mmu-miR-145a-3p,16928,9708,10300,15143,9537,7070,15552,9499
mmu-miR-144-5p,14,13,5,26,12,7,24,10
mmu-miR-144-3p,28,27,9,75,15,14,30,33
mmu-miR-143-5p,28636,28005,37036,29176,14647,8865,22149,16994
mmu-miR-143-3p,1431213,1364058,1794562,1377065,698538,514956,1264154,861441
mmu-miR-142b,0,0,0,0,1,0,0,0
mmu-miR-142a-5p,7345,2500,1091,1414,41278,16110,9769,10061
mmu-miR-142a-3p,2036,752,208,359,9891,4071,2384,2312
mmu-miR-141-5p,0,0,0,0,1,0,0,0
mmu-miR-141-3p,23,19,14,14,51,16,29,31
mmu-miR-140-5p,39358,27072,30741,32321,30231,20857,28415,18412
mmu-miR-140-3p,135200,112157,148300,109992,148686,86609,112523,75112
mmu-miR-139-5p,270,117,104,155,185,87,97,77
mmu-miR-139-3p,1,4,5,3,7,0,1,3
mmu-miR-138-5p,97,98,147,66,92,72,134,128
mmu-miR-138-2-3p,4,5,1,4,3,4,7,11
mmu-miR-137-3p,23,9,25,21,7,10,12,12
mmu-miR-136-5p,3674,2305,2884,3394,6495,3955,10983,8193
mmu-miR-136-3p,32487,20437,28591,31237,38427,24084,59530,45771
mmu-miR-135b-5p,9,5,0,4,2,1,6,6
mmu-miR-135a-5p,615,372,1567,1580,137,152,1186,574
mmu-miR-135a-2-3p,19,11,66,45,6,6,43,15
mmu-miR-134-5p,14228,11095,18259,15170,15040,10163,24512,20421
mmu-miR-134-3p,431,432,612,444,368,202,691,603
mmu-miR-133b-5p,0,0,0,1,0,0,1,0
mmu-miR-133b-3p,2,7,9,863,9,4,20,30
mmu-miR-133a-5p,25,16,30,82,20,19,54,30
mmu-miR-133a-3p,288,221,374,1990,364,197,492,457
mmu-miR-132-5p,1488,938,1294,1230,440,327,952,793
mmu-miR-132-3p,7988,6470,8763,7446,1516,1199,2811,2765
mmu-miR-130b-5p,410,191,143,259,683,421,515,334
mmu-miR-130b-3p,246,138,223,172,554,247,259,258
mmu-miR-130a-5p,290,188,186,221,203,131,310,231
mmu-miR-130a-3p,10056,7117,9764,8728,10036,5279,11471,8859
mmu-miR-1306-5p,346,244,275,261,241,130,241,251
mmu-miR-1306-3p,85,41,58,68,38,28,27,39
mmu-miR-129b-5p,0,2,1,0,1,1,0,1
mmu-miR-1298-5p,1,8,3838,1156,0,2,126,53
mmu-miR-1298-3p,1,0,82,37,0,0,5,3
mmu-miR-1291,122,146,84,89,32,32,66,58
mmu-miR-129-5p,6088,4850,4741,4419,663,565,1480,1155
mmu-miR-129-2-3p,7211,4134,4760,4834,1664,893,2957,2698
mmu-miR-129-1-3p,78,23,78,63,11,7,32,24
mmu-miR-128-3p,2737,1610,1966,2400,2107,1605,1943,1754
mmu-miR-128-2-5p,0,0,0,1,0,0,0,0
