"","target_id","D0_PF_1","D0_PF_2","D7_PF_1","D7_PF_2","D0_SAG_1","D0_SAG_2","D7_SAG_1","D7_SAG_2","Trend"
"924","Smurf1",4426.738,4335.731,2346.051,2391.378,4402.154164,4556.92568,2758.097027,2400.277849,"DBT"
"927","Fam91a1",7832.989627,7861.619176,4528.111408,4585.990866,8111.725825,8293.42821,4838.091532,4706.72866,"DBT"
"932","Kctd10",3673.881,3751.232,2142.571,2023.201,3622.961491,3679.004561,2559.535173,2623.080734,"DBT"
"942","Amd1",1366.20728,1289.20609,636.0356898,652.5616442,1056.901268,1114.507638,618.9327569,637.7536024,"DBT"
"946","Nudcd1",1549.846,1391.573,677.3897,670.5206,1311.400561,1281.173848,900.9149417,920.4457034,"DBT"
"950","Ipo7",9173.509,8105.615,4038.658,3951.259,7487.540188,8016.237881,3539.282681,3728.387744,"DBT"
"951","Tpm4",30472.26,29568.87,16460.35,14861.3,29769.93241,29428.13241,22370.01201,22915.28068,"DBT"
"954","Dock5",1421.917671,1446.41222,599.1479504,673.1968833,1555.468939,1538.857721,837.2493907,815.4266533,"DBT"
"957","Zmat3",6630.833,6408.041,3690.455,3715.235,7051.296909,6869.526653,5222.427041,4551.299535,"DBT"
"960","Rrs1",2121.154,2099.818,1028.139,1096.004,1678.827246,1644.450416,895.6709665,831.7789154,"DBT"
"968","Ptprf",3751.565,3795.924,2132.866,1971.9,3382.733923,3325.288218,2453.267758,2365.088655,"DBT"
"977","Crim1",5079.984391,5583.541792,1914.739611,1639.392085,6209.120093,6028.727157,2077.66298,1779.669101,"DBT"
"979","Larp1",12400.85,12202.11,7291.617,7395.074,11282.0536,11263.12947,7678.915636,7274.910696,"DBT"
"982","Ptpn14",2321.797,2448.071,1048.571,913.9499,2619.01246,2566.809904,1584.904762,1537.314766,"DBT"
"991","Gnl3",2971.413,2889.526,1594.295,1557.371,2371.661074,2561.423329,1542.777508,1647.724476,"DBT"
"1000","Ddx39",4561.247917,4619.022849,2558.107731,2632.211853,3972.626434,4106.146331,2290.659346,2316.512086,"DBT"
"1001","Sec63",9560.84,9500.222,5004.246,4531.51,9653.080897,8815.390716,5086.749595,5259.658489,"DBT"
