ID,D0PF1,D0PF2,D7PF1,D7PF2
mmu-miR-7063-3p,2,1,0,0
mmu-miR-7062-5p,3,6,33,10
mmu-miR-7062-3p,0,0,2,1
mmu-miR-7061-5p,1,3,3,3
mmu-miR-7061-3p,0,0,0,1
mmu-miR-7060-5p,1,0,0,0
mmu-miR-7060-3p,0,0,2,0
mmu-miR-706,4,1,0,1
mmu-miR-7059-5p,1,0,6,5
mmu-miR-7059-3p,0,0,1,0
mmu-miR-7058-5p,0,0,1,0
mmu-miR-7057-5p,0,1,1,0
mmu-miR-7057-3p,6,4,3,4
mmu-miR-7054-5p,3,4,5,3
mmu-miR-7054-3p,2,0,1,0
mmu-miR-7052-5p,0,1,1,1
mmu-miR-7052-3p,2,1,0,0
mmu-miR-7051-5p,1,0,0,0
mmu-miR-7051-3p,1,2,0,0
mmu-miR-7050-5p,0,2,0,0
mmu-miR-7049-5p,3,2,3,2
mmu-miR-7048-3p,0,0,1,0
mmu-miR-7047-5p,0,2,0,0
mmu-miR-7046-5p,2,0,2,1
mmu-miR-7046-3p,0,3,0,0
mmu-miR-7045-5p,0,0,0,1
mmu-miR-7045-3p,1,1,0,0
mmu-miR-7044-5p,0,2,0,0
mmu-miR-7043-5p,2,1,4,0
mmu-miR-7043-3p,6,0,11,4
mmu-miR-7042-5p,5,6,2,2
mmu-miR-7042-3p,1,0,0,0
mmu-miR-7041-5p,0,1,1,0
mmu-miR-7041-3p,0,0,0,0
mmu-miR-7040-5p,5,0,1,0
mmu-miR-7040-3p,0,0,0,0
mmu-miR-704,1,1,0,1
mmu-miR-7039-5p,0,4,0,1
mmu-miR-7038-5p,3,2,0,0
mmu-miR-7038-3p,0,1,1,0
mmu-miR-7037-5p,1,0,1,0
mmu-miR-7037-3p,1,0,0,0
mmu-miR-7036b-5p,8,6,8,3
mmu-miR-7036b-3p,1,1,0,0
mmu-miR-7036a-5p,1,0,0,1
mmu-miR-7036a-3p,0,0,1,0
mmu-miR-7035-5p,0,1,1,0
mmu-miR-7035-3p,4,1,2,1
mmu-miR-7034-5p,0,0,0,0
mmu-miR-7034-3p,3,0,3,2
mmu-miR-7033-5p,12,8,5,5
mmu-miR-7033-3p,0,0,0,0
mmu-miR-7032-5p,3,2,0,0
mmu-miR-7032-3p,1,2,2,0
mmu-miR-7031-5p,1,7,3,1
mmu-miR-7031-3p,1,0,0,0
mmu-miR-7030-5p,1,1,0,0
mmu-miR-7030-3p,1,0,0,0
mmu-miR-703,0,0,2,0
mmu-miR-7029-5p,1,6,2,1
mmu-miR-7029-3p,3,1,5,0
mmu-miR-7028-5p,2,0,0,0
mmu-miR-7027-5p,1,0,1,0
mmu-miR-7027-3p,4,0,2,0
mmu-miR-7026-5p,3,2,3,1
mmu-miR-7026-3p,0,0,0,1
mmu-miR-7025-5p,0,0,1,1
mmu-miR-7025-3p,37,31,27,18
mmu-miR-7024-5p,0,3,0,0
mmu-miR-7024-3p,2,2,2,1
mmu-miR-7023-5p,0,0,2,0
mmu-miR-7023-3p,0,0,1,0
mmu-miR-7022-5p,1,1,2,1
mmu-miR-7022-3p,0,0,0,0
mmu-miR-7021-5p,23,18,15,22
mmu-miR-7021-3p,0,0,0,0
mmu-miR-7020-5p,0,0,0,0
mmu-miR-7020-3p,0,1,0,0
mmu-miR-702-5p,8,5,2,0
mmu-miR-702-3p,22,28,9,11
mmu-miR-7019-5p,0,1,1,0
mmu-miR-7019-3p,3,3,5,1
mmu-miR-7018-5p,0,0,0,1
mmu-miR-7018-3p,44,54,15,6
mmu-miR-7017-5p,6,2,0,0
mmu-miR-7017-3p,0,0,0,0
mmu-miR-7016-5p,0,0,0,0
mmu-miR-7016-3p,0,0,1,0
mmu-miR-7015-5p,0,0,2,1
mmu-miR-7015-3p,3,2,5,1
mmu-miR-7014-5p,1,1,0,0
mmu-miR-7014-3p,0,1,0,0
mmu-miR-7013-5p,5,6,8,2
mmu-miR-7013-3p,3,1,0,1
mmu-miR-7012-5p,0,0,2,1
mmu-miR-7010-5p,0,0,0,0
mmu-miR-701-5p,187,104,96,72
mmu-miR-701-3p,47,30,17,10
mmu-miR-7009-5p,9,16,16,2
mmu-miR-7009-3p,0,0,1,0
mmu-miR-7008-5p,3,1,1,1
mmu-miR-7008-3p,0,0,1,0
mmu-miR-7007-5p,0,0,1,1
mmu-miR-7007-3p,0,0,1,0
mmu-miR-7006-5p,0,0,1,0
mmu-miR-7004-5p,0,0,0,0
mmu-miR-7003-5p,0,0,1,0
mmu-miR-7002-5p,0,1,0,0
mmu-miR-7002-3p,0,0,0,1
mmu-miR-7001-3p,0,0,0,1
mmu-miR-7000-5p,0,0,0,0
mmu-miR-7000-3p,0,0,0,0
mmu-miR-700-5p,389,303,483,199
mmu-miR-700-3p,1080,1397,794,390
mmu-miR-6999-3p,0,0,0,0
mmu-miR-6998-5p,1,0,0,0
mmu-miR-6998-3p,9,11,2,0
mmu-miR-6997-5p,11,2,0,1
mmu-miR-6997-3p,2,5,4,1
mmu-miR-6996-5p,4,4,6,3
mmu-miR-6996-3p,0,0,0,1
mmu-miR-6995-5p,3,3,2,0
mmu-miR-6995-3p,1,0,1,0
mmu-miR-6994-5p,6,5,3,4
mmu-miR-6994-3p,5,4,7,3
mmu-miR-6993-5p,0,0,0,0
mmu-miR-6992-5p,9,6,1,0
mmu-miR-6992-3p,0,0,1,0
mmu-miR-6991-5p,1,0,2,0
mmu-miR-6991-3p,3,0,1,0
mmu-miR-6990-5p,8,11,10,2
mmu-miR-6989-5p,0,0,0,0
mmu-miR-6989-3p,1,4,3,0
mmu-miR-6988-5p,1,0,0,0
mmu-miR-6988-3p,1,0,1,0
mmu-miR-6987-5p,0,1,1,0
mmu-miR-6987-3p,0,0,0,0
mmu-miR-6986-5p,8,3,2,7
mmu-miR-6986-3p,0,0,0,0
mmu-miR-6985-5p,2,0,2,4
mmu-miR-6985-3p,3,2,3,3
mmu-miR-6984-5p,1,3,1,1
mmu-miR-6984-3p,2,0,3,0
mmu-miR-6983-5p,0,0,5,2
mmu-miR-6983-3p,0,0,2,0
mmu-miR-6981-3p,0,0,0,0
mmu-miR-6980-5p,0,0,0,0
mmu-miR-698-5p,2,0,0,2
mmu-miR-698-3p,0,2,0,0
mmu-miR-6979-3p,0,3,0,0
mmu-miR-6978-3p,0,0,0,0
mmu-miR-6977-5p,0,0,1,0
mmu-miR-6977-3p,12,7,1,1
mmu-miR-6976-5p,3,2,1,1
mmu-miR-6975-5p,0,0,0,0
mmu-miR-6975-3p,4,0,3,1
mmu-miR-6974-5p,0,0,0,1
mmu-miR-6972-3p,0,0,1,0
mmu-miR-6971-5p,1,1,0,0
mmu-miR-6971-3p,0,2,0,3
mmu-miR-6970-5p,7,3,5,4
mmu-miR-6970-3p,10,13,11,3
mmu-miR-6968-5p,1,0,0,0
mmu-miR-6968-3p,0,0,1,0
mmu-miR-6967-5p,4,8,6,1
mmu-miR-6967-3p,3,7,4,3
mmu-miR-6966-5p,0,8,2,0
mmu-miR-6966-3p,4,3,1,3
mmu-miR-6965-3p,0,3,0,0
mmu-miR-6964-5p,0,0,0,1
mmu-miR-6964-3p,0,0,1,0
mmu-miR-6963-5p,1,1,2,0
mmu-miR-6963-3p,17,4,2,1
mmu-miR-6962-5p,0,2,3,0
mmu-miR-6962-3p,0,1,1,0
mmu-miR-6960-5p,12,3,13,5
mmu-miR-6960-3p,0,0,1,0
mmu-miR-6959-5p,2,3,1,3
mmu-miR-6959-3p,0,0,0,0
mmu-miR-6958-3p,5,2,1,2
mmu-miR-6956-5p,0,0,0,0
mmu-miR-6956-3p,0,0,0,0
mmu-miR-6955-5p,4,4,3,2
mmu-miR-6955-3p,0,1,0,1
mmu-miR-6954-5p,1,0,1,1
mmu-miR-6954-3p,0,2,2,0
mmu-miR-6953-3p,2,0,0,0
mmu-miR-6952-5p,1,0,0,3
mmu-miR-6952-3p,2,7,4,2
mmu-miR-6951-5p,7,2,4,4
mmu-miR-6950-5p,6,3,2,6
mmu-miR-6950-3p,0,0,0,0
mmu-miR-6948-5p,23,13,17,5
mmu-miR-6948-3p,12,9,3,3
mmu-miR-6947-5p,0,2,0,1
mmu-miR-6947-3p,0,0,0,0
mmu-miR-6946-5p,9,0,4,0
mmu-miR-6946-3p,0,0,0,0
mmu-miR-6945-5p,11,4,0,1
mmu-miR-6945-3p,33,13,10,10
mmu-miR-6944-5p,0,1,0,1
mmu-miR-6944-3p,106,79,70,40
mmu-miR-6943-5p,2,0,1,0
mmu-miR-6943-3p,0,0,0,0
mmu-miR-6942-5p,0,0,5,3
mmu-miR-6942-3p,3,2,1,0
mmu-miR-6940-3p,17,18,10,5
mmu-miR-694,5,1,0,0
mmu-miR-6939-5p,2,2,0,0
mmu-miR-6939-3p,1,0,0,2
mmu-miR-6938-5p,2,0,0,0
mmu-miR-6938-3p,0,0,0,2
mmu-miR-6937-5p,1,0,4,1
mmu-miR-6937-3p,1,0,2,6
mmu-miR-6936-3p,0,3,2,0
mmu-miR-6935-5p,3,13,2,3
mmu-miR-6934-5p,0,2,1,0
mmu-miR-6933-5p,26,38,23,10
mmu-miR-6933-3p,0,4,3,1
mmu-miR-6932-5p,2,1,1,0
mmu-miR-6932-3p,2,0,0,0
mmu-miR-6931-5p,0,0,0,0
mmu-miR-6930-5p,1,1,0,1
mmu-miR-693-5p,3,0,1,3
mmu-miR-693-3p,3,0,9,0
mmu-miR-6929-5p,0,2,1,1
mmu-miR-6929-3p,1,0,2,0
mmu-miR-6928-5p,0,0,0,0
mmu-miR-6928-3p,0,0,0,0
mmu-miR-6927-5p,1,1,0,0
mmu-miR-6927-3p,0,0,0,0
mmu-miR-6925-5p,2,2,0,4
mmu-miR-6922-5p,1,0,2,1
mmu-miR-6922-3p,2,1,4,1
mmu-miR-6921-5p,0,3,0,1
mmu-miR-6921-3p,0,0,1,0
mmu-miR-6920-5p,1,0,1,0
mmu-miR-6920-3p,1,0,0,0
mmu-miR-692,0,0,0,0
mmu-miR-6919-3p,0,0,0,0
mmu-miR-6918-5p,3,6,2,0
mmu-miR-6916-5p,3,1,4,1
mmu-miR-6916-3p,0,1,1,1
mmu-miR-6915-5p,3,0,0,0
mmu-miR-6915-3p,3,1,1,0
mmu-miR-6914-5p,1,1,2,1
mmu-miR-6913-5p,0,0,2,0
mmu-miR-6913-3p,2,0,1,0
mmu-miR-6912-5p,4,2,3,1
mmu-miR-6912-3p,1,0,0,0
mmu-miR-6911-5p,1,1,1,0
mmu-miR-6911-3p,14,3,12,12
mmu-miR-6910-5p,0,0,0,1
mmu-miR-6910-3p,4,6,2,2
mmu-miR-6909-3p,2,2,0,1
mmu-miR-6908-5p,0,1,0,0
mmu-miR-6907-3p,0,0,1,0
mmu-miR-6906-5p,0,0,0,0
mmu-miR-6905-5p,0,0,1,0
mmu-miR-6904-5p,0,0,3,0
mmu-miR-6903-5p,4,2,0,0
mmu-miR-6902-5p,7,1,4,1
mmu-miR-6902-3p,1,0,2,2
mmu-miR-6901-5p,61,55,40,40
mmu-miR-6901-3p,4,2,0,0
mmu-miR-6900-5p,1,2,4,2
mmu-miR-6900-3p,4,5,4,4
mmu-miR-690,50,78,151,50
mmu-miR-6899-5p,3,0,0,0
mmu-miR-6899-3p,3,2,3,0
mmu-miR-6898-5p,5,3,0,4
mmu-miR-6898-3p,0,0,2,0
mmu-miR-6897-5p,4,4,2,0
mmu-miR-6896-5p,5,8,4,1
mmu-miR-6896-3p,0,0,0,0
mmu-miR-688,1,0,2,0
mmu-miR-682,0,1,0,0
mmu-miR-679-5p,1031,841,571,421
mmu-miR-679-3p,77,39,52,42
mmu-miR-677-5p,300,334,201,125
mmu-miR-677-3p,52,102,18,10
mmu-miR-676-5p,894,752,908,561
mmu-miR-676-3p,3240,2356,3584,2696
mmu-miR-675-5p,113,105,196,116
mmu-miR-675-3p,292,201,553,265
mmu-miR-674-5p,2881,1832,3187,1735
mmu-miR-674-3p,8790,8400,7741,4594
mmu-miR-673-5p,1581,1277,2166,1271
mmu-miR-673-3p,370,292,315,251
mmu-miR-672-5p,44,39,38,32
mmu-miR-672-3p,2,5,0,2
mmu-miR-6715-5p,0,0,1,0
mmu-miR-671-5p,1323,1666,1450,731
mmu-miR-671-3p,980,949,557,410
mmu-miR-670-5p,1,0,0,1
mmu-miR-670-3p,2,1,0,0
mmu-miR-669p-5p,626,441,488,273
mmu-miR-669p-3p,32,13,14,9
mmu-miR-669o-5p,145,103,112,70
mmu-miR-669o-3p,1766,771,1329,766
mmu-miR-669m-5p,11,8,12,12
mmu-miR-669m-3p,18,9,13,7
mmu-miR-669l-5p,117,78,90,58
mmu-miR-669l-3p,4,2,9,2
mmu-miR-669k-5p,5,6,4,3
mmu-miR-669k-3p,0,1,0,0
mmu-miR-669i,4,2,1,0
mmu-miR-669h-5p,19,6,6,6
mmu-miR-669h-3p,2,5,1,1
mmu-miR-669g,1,0,1,0
mmu-miR-669f-5p,68,39,50,27
mmu-miR-669f-3p,183,102,94,73
