"target_symbol","target_entrez","target_ensembl"
"Pdlim1","54132","ENSMUSG00000055044"
"Nfil3","18030","ENSMUSG00000056749"
"Abcb10","56199","ENSMUSG00000031974"
"Ddx21","56200","ENSMUSG00000020075"
"Ube2j1","56228","ENSMUSG00000028277"
"Nek7","59125","ENSMUSG00000026393"
"Herpud1","64209","ENSMUSG00000031770"
"Mrto4","69902","ENSMUSG00000028741"
"Mtap","66902","ENSMUSG00000062937"
"Smurf2","66313","ENSMUSG00000018363"
"Rsl1d1","66409","ENSMUSG00000005846"
"Eif2s2","67204","ENSMUSG00000074656"
"Pkp2","67451","ENSMUSG00000041957"
"Atic","108147","ENSMUSG00000026192"
"Lurap1l","52829","ENSMUSG00000048706"
"Ptar1","72351","ENSMUSG00000074925"
"Shmt2","108037","ENSMUSG00000025403"
"Zfp131","72465","ENSMUSG00000094870"
"Dis3","72662","ENSMUSG00000033166"
"Rnd3","74194","ENSMUSG00000017144"
"Pwp2","110816","ENSMUSG00000032834"
"Idh3a","67834","ENSMUSG00000032279"
"Cxcr6","80901","ENSMUSG00000048521"
"Lrrc59","98238","ENSMUSG00000020869"
"Sh3bp4","98402","ENSMUSG00000036206"
"Ppp1r15b","108954","ENSMUSG00000046062"
"Ripk2","192656","ENSMUSG00000041135"
"Slc39a6","106957","ENSMUSG00000024270"
"Etf1","225363","ENSMUSG00000024360"
"Nsun2","28114","ENSMUSG00000021595"
"Me2","107029","ENSMUSG00000024556"
"Cth","107869","ENSMUSG00000028179"
"Eif3c","56347","ENSMUSG00000030738"
"Las1l","76130","ENSMUSG00000057421"
"Gnl3","30877","ENSMUSG00000042354"
"Fam20a","208659","ENSMUSG00000020614"
"Zmpste24","230709","ENSMUSG00000043207"
"Naa25","231713","ENSMUSG00000042719"
"Trib3","228775","ENSMUSG00000032715"
"Dock5","68813","ENSMUSG00000044447"
"Wipi2","74781","ENSMUSG00000029578"
"Pkn2","109333","ENSMUSG00000004591"
"Atxn2l","233871","ENSMUSG00000032637"
"Tra2a","101214","ENSMUSG00000029817"
"Nop56","67134","ENSMUSG00000027405"
"Cyp20a1","77951","ENSMUSG00000049439"
"Ddit3","13198","ENSMUSG00000025408"
"Lonp1","74142","ENSMUSG00000041168"
"Pop1","67724","ENSMUSG00000022325"
"Ipo7","233726","ENSMUSG00000066232"
"Inf2","70435","ENSMUSG00000037679"
"Arhgap35","232906","ENSMUSG00000058230"
"Diaph3","56419","ENSMUSG00000022021"
"Pidd1","57913","ENSMUSG00000025507"
