"","target_id","D0_PF_1","D0_PF_2","D7_PF_1","D7_PF_2","D0_SAG_1","D0_SAG_2","D7_SAG_1","D7_SAG_2","Trend"
"401","Celf2",825.7423592,762.9146291,2247.242993,2300.596608,681.1064543,610.2042353,1632.503237,1417.172329,"UBT"
"402","Serpinb9",648.5502,625.1854,1886.303,1703.648,674.46385,644.5457102,2772.387508,2649.17243,"UBT"
"404","Dock10",97.32069036,124.3512804,1136.824202,1333.969581,66.998975,63.62451951,304.7072992,353.4107956,"UBT"
"405","Isoc2a",540.8307,588.024,1752.67,1971.301,492.8841705,511.5434738,1573.798206,1727.699148,"UBT"
"406","Abi3bp",1353.955709,1174.403463,18089.62375,13796.09024,838.7065348,786.3247084,27899.88119,29397.74935,"UBT"
"407","Rac2",177.2974,203.824,3317.628,4658.239,49.28038851,58.03335938,528.5567899,962.1105858,"UBT"
"409","Myo1e",1893.61,1979.583,4278.738,4322.759,1932.841169,1926.958959,4086.309805,3849.597569,"UBT"
"410","Tlr13",127.7683,100.6516,2388.551,3248.389,41.23003557,43.11574105,375.1191728,585.8955824,"UBT"
"411","Igf1",898.1009,944.085,5668.108,7129.688,1438.606882,1272.932749,3737.735935,4239.253955,"UBT"
"413","Gm2a",903.2880951,1018.761573,3976.679783,4553.183396,981.1074242,989.9979738,3321.5339,3642.727204,"UBT"
"416","C1qtnf1",341.6475357,315.6185268,1227.939179,1077.582968,274.1279961,276.4204709,1442.818095,1461.319867,"UBT"
"417","Renbp",775.5069,834.7068,3094.414,3623.567,843.0147467,901.5606303,1778.544669,1757.148826,"UBT"
"418","Arhgap25",48.11581051,34.6747327,1216.386774,1615.822206,14.55950624,13.77209357,162.8803419,268.626513,"UBT"
"419","Adssl1",51.10704272,51.57721517,392.1666178,498.9230712,59.7982915,48.85516954,132.690361,162.5937336,"UBT"
"420","Tcea3",177.0668,161.2469,899.1256,758.7521,176.1246363,184.4716463,1085.678418,1158.712353,"UBT"
"422","Man2b2",1771.367,1840.654,4790.047,5408.095,2079.784796,2038.528568,4229.802439,3937.095038,"UBT"
"424","Bicc1",2884.513024,2668.763725,6572.115147,6152.223256,2439.348804,2355.979572,6818.648274,6524.548499,"UBT"
"426","Tril",50.33367,34.50186,1735.835,1366.673,52.76887227,40.67225426,1378.121426,914.1135444,"UBT"
"427","Plin4",20.67247,14.37589,506.0973,517.7624,76.22235066,48.06273843,223.3955892,167.8352266,"UBT"
"428","Sp110",17.02887,13.11083,335.8935,356.4972,14.30542764,8.52867279,108.8375487,116.3625602,"UBT"
"429","Ccl3",26.06502961,23.00120203,655.6086545,990.4019726,17.58957533,20.33609283,120.6114299,150.9446509,"UBT"
