"","X","target_id","D0_PF_1","D0_PF_2","D7_PF_1","D7_PF_2","D0_SAG_1","D0_SAG_2","D7_SAG_1","D7_SAG_2","Trend"
"1506",4322,"Gm9913",184.6812,213.8991,73.90439,82.86582,228.6973178,248.1012296,128.0932098,84.09168144,"DBT"
"1507",4323,"Dut",915.1665507,890.8918693,610.4643709,618.2721751,723.1298607,815.5969559,586.7554071,664.0389816,"DBT"
"1508",4324,"Heatr1",237.5606,227.6351,123.1009,142.2222,203.0102148,230.8253396,80.39838018,92.89908539,"DBT"
"1510",4328,"Metap1",589.8563,578.4502,390.6846,412.061,539.8254695,524.1485955,361.6495584,386.4792719,"DBT"
"1512",4335,"Med1",579.5426,586.8735,366.1875,366.4965,568.3237352,536.0527158,386.625037,363.7113868,"DBT"
"1513",4337,"Ccdc86",1338.14981,1386.311739,991.9706305,975.886453,1220.551717,1284.758291,875.7435652,756.2916027,"DBT"
"1514",4339,"Cct4",1811.786621,1770.703106,1381.004839,1342.583877,1556.326823,1585.776714,1337.255706,1426.763293,"DBT"
"1517",4345,"Morc2a",418.282,444.2503,271.1721,278.4058,383.1151091,413.9634314,322.9014962,340.4755642,"DBT"
"1518",4346,"Simc1",140.3824,127.9996,61.66572,50.71445,119.1041627,114.4125581,75.09581206,79.99296618,"DBT"
"1519",4351,"Usp10",571.1369,564.152,363.4031,365.0913,501.3048935,501.1012158,397.8067889,405.1317424,"DBT"
"1521",4355,"Sec24a",1118.472,1039.541,788.9032,760.1166,1079.298756,1050.646263,869.0882661,895.6935272,"DBT"
"1523",4362,"Rpa1",6509.021,6405.812,5112.355,4987.725,6140.813413,6118.925761,5248.184785,5631.315604,"DBT"
"1525",4365,"Sap18",278.8545,290.5511,155.0314,156.7408,361.3568168,366.367525,145.2048707,199.2462793,"DBT"
"1526",4367,"Iws1",496.3562,455.7075,304.4328,324.4116,412.3771614,422.0330357,337.9899715,329.0308942,"DBT"
"1527",4368,"Knop1",2343.52,2179.896,1467.909,1609.329,2069.657584,2189.633992,1439.069654,1187.636558,"DBT"
"1528",4370,"Slc12a4",858.7622,864.4471,615.2205,613.6104,967.0923756,977.5408844,785.3404088,771.189347,"DBT"
"1531",4388,"Psme3",1048.479,994.6318,733.2898,766.6359,945.8797209,948.7296167,709.3515563,735.5257608,"DBT"
"1532",4390,"6030458C11Rik",1159.77195,1156.702223,827.4526799,842.6964842,1048.999928,1079.495035,813.122387,767.3811812,"DBT"
"1534",4405,"Jakmip2",64.71318,71.87876,6.793872,2.050522,39.08794519,44.36965709,17.82951573,23.22225398,"DBT"
"1535",4407,"Dgke",552.053366,541.4956743,362.8840588,351.4169335,510.024348,509.0654597,356.0621319,338.7789953,"DBT"
"1536",4409,"Kifc5b",457.5326,447.342,264.9285,306.9728,321.4560718,294.5548245,258.0821072,226.2502553,"DBT"
"1537",4411,"Nup205",1931.428,1924.395,1425.869,1520.543,1622.888573,1597.879638,1339.173641,1331.965948,"DBT"
