"target_symbol","target_entrez","target_ensembl"
"SOCS1","8651","ENSG00000185338"
"MGP","4256","ENSG00000111341"
"Mef2c","17260","ENSMUSG00000005583"
"Abca1","11303","ENSMUSG00000015243"
"Anp32a","11737","ENSMUSG00000032249"
"Ap3d1","11776","ENSMUSG00000020198"
"Aplp2","11804","ENSMUSG00000031996"
"App","11820","ENSMUSG00000022892"
"Slc7a2","11988","ENSMUSG00000031596"
"Bmp4","12159","ENSMUSG00000021835"
"C1qa","12259","ENSMUSG00000036887"
"Dpysl2","12934","ENSMUSG00000022048"
"Dnmt3a","13435","ENSMUSG00000020661"
"Celf2","14007","ENSMUSG00000002107"
"B4galnt1","14421","ENSMUSG00000006731"
"Gas7","14457","ENSMUSG00000033066"
"Gpm6b","14758","ENSMUSG00000031342"
"Hsd17b10","15108","ENSMUSG00000025260"
"Lrrn3","16981","ENSMUSG00000036295"
"Mrc1","17533","ENSMUSG00000026712"
"Map2","17756","ENSMUSG00000015222"
"Nfia","18027","ENSMUSG00000028565"
"Ralgds","19730","ENSMUSG00000026821"
"Scp2","20280","ENSMUSG00000028603"
"Serpinb9","20723","ENSMUSG00000045827"
"Zfpm2","22762","ENSMUSG00000022306"
"Tenm4","23966","ENSMUSG00000048078"
"Map3k5","26408","ENSMUSG00000071369"
"B3galt2","26878","ENSMUSG00000033849"
"Sh3d19","27059","ENSMUSG00000028082"
"Tmx4","52837","ENSMUSG00000034723"
"Gramd1a","52857","ENSMUSG00000001248"
"Rcan3","53902","ENSMUSG00000059713"
"Sh3bgrl","56726","ENSMUSG00000031246"
"Smoc2","64074","ENSMUSG00000023886"
"Itm2c","64294","ENSMUSG00000026223"
"Rogdi","66049","ENSMUSG00000022540"
"Smim20","66278","ENSMUSG00000061461"
"Polr3k","67005","ENSMUSG00000038628"
"Tomm34","67145","ENSMUSG00000018322"
"1600012H06Rik","67912","ENSMUSG00000050088"
"Aspscr1","68938","ENSMUSG00000025142"
"Necab1","69352","ENSMUSG00000040536"
"4931406C07Rik","70984","ENSMUSG00000031938"
"Zfp597","71063","ENSMUSG00000039789"
"Scara5","71145","ENSMUSG00000022032"
"2510009E07Rik","72190","ENSMUSG00000043391"
"Ppp1r21","73825","ENSMUSG00000034709"
"Cds1","74596","ENSMUSG00000029330"
"Dhcr24","74754","ENSMUSG00000034926"
"Heg1","77446","ENSMUSG00000075254"
"Igsf3","78908","ENSMUSG00000042035"
"Znfx1","98999","ENSMUSG00000039501"
"Aldh6a1","104776","ENSMUSG00000021238"
"Sobp","109205","ENSMUSG00000038248"
"Elovl6","170439","ENSMUSG00000041220"
"Fchsd2","207278","ENSMUSG00000030691"
"Nudcd3","209586","ENSMUSG00000053838"
"Rassf4","213391","ENSMUSG00000042129"
"Nudt18","213484","ENSMUSG00000045211"
"Tnrc6b","213988","ENSMUSG00000047888"
"Slc36a1","215335","ENSMUSG00000020261"
"Appl2","216190","ENSMUSG00000020263"
"Hid1","217310","ENSMUSG00000034586"
"Megf9","230316","ENSMUSG00000039270"
"Fbxo21","231670","ENSMUSG00000032898"
"Slc44a5","242259","ENSMUSG00000028360"
