"","database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","support_type","pubmed_id","type","score","disease_drug","paper_pubmedID"
"75","mirtarbase","MIMAT0000208","mmu-miR-10b-5p","Ripor2","193385","ENSMUSG00000036006","HITS-CLIP","","21258322","validated",NA,NA,NA
"76","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Utrn","22288","ENSMUSG00000019820","Sequencing","","19536157","validated",NA,NA,NA
"77","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Aebp2","11569","ENSMUSG00000030232","Sequencing","","19536157","validated",NA,NA,NA
"78","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Atp2a2","11938","ENSMUSG00000029467","Sequencing","","19536157","validated",NA,NA,NA
"79","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Hyou1","12282","ENSMUSG00000032115","Sequencing","","19536157","validated",NA,NA,NA
"80","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Igf1r","16001","ENSMUSG00000005533","Sequencing","","19536157","validated",NA,NA,NA
"81","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Ikbkg","16151","ENSMUSG00000004221","Sequencing","","19536157","validated",NA,NA,NA
"82","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Smad7","17131","ENSMUSG00000025880","Sequencing","","19536157","validated",NA,NA,NA
"83","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Pitpnm2","19679","ENSMUSG00000029406","Sequencing","","19536157","validated",NA,NA,NA
"84","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Plk2","20620","ENSMUSG00000021701","Sequencing","","19536157","validated",NA,NA,NA
"85","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Grem2","23893","ENSMUSG00000050069","Sequencing","","19536157","validated",NA,NA,NA
"86","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Dlc1","50768","ENSMUSG00000031523","Sequencing","","19536157","validated",NA,NA,NA
"87","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Slc1a4","55963","ENSMUSG00000020142","Sequencing","","19536157","validated",NA,NA,NA
"88","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Amotl2","56332","ENSMUSG00000032531","Sequencing","","19536157","validated",NA,NA,NA
"89","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Bcl11b","58208","ENSMUSG00000048251","Sequencing//HITS-CLIP","","21258322","validated",NA,NA,NA
"90","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Camsap2","67886","ENSMUSG00000041570","Sequencing","","19536157","validated",NA,NA,NA
"91","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Spire1","68166","ENSMUSG00000024533","Sequencing","","19536157","validated",NA,NA,NA
"92","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Tulp4","68842","ENSMUSG00000034377","Sequencing","","19536157","validated",NA,NA,NA
"93","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Kctd5","69259","ENSMUSG00000016946","Sequencing","","19536157","validated",NA,NA,NA
"94","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Cdca4","71963","ENSMUSG00000047832","Sequencing","","19536157","validated",NA,NA,NA
"95","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Rictor","78757","ENSMUSG00000050310","Sequencing","","19536157","validated",NA,NA,NA
"96","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","N4bp1","80750","ENSMUSG00000031652","Sequencing","","19536157","validated",NA,NA,NA
"97","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Ank2","109676","ENSMUSG00000032826","Sequencing","","19536157","validated",NA,NA,NA
"98","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Flna","192176","ENSMUSG00000031328","Sequencing","","19536157","validated",NA,NA,NA
"99","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Fermt2","218952","ENSMUSG00000037712","Sequencing","","19536157","validated",NA,NA,NA
"100","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Ablim1","226251","ENSMUSG00000025085","Sequencing","","19536157","validated",NA,NA,NA
"101","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Ankrd13b","268445","ENSMUSG00000037907","Sequencing","","19536157","validated",NA,NA,NA
"102","mirtarbase","MIMAT0000526","mmu-miR-15a-5p","Ncl","17975","ENSMUSG00000026234","HITS-CLIP","","21258322","validated",NA,NA,NA
"103","mirtarbase","MIMAT0000527","mmu-miR-16-5p","Bcl11b","58208","ENSMUSG00000048251","HITS-CLIP","","21258322","validated",NA,NA,NA
"104","mirtarbase","MIMAT0000527","mmu-miR-16-5p","Ncl","17975","ENSMUSG00000026234","HITS-CLIP","","21258322","validated",NA,NA,NA
"105","mirtarbase","MIMAT0000648","mmu-miR-10a-5p","Gls","14660","ENSMUSG00000026103","HITS-CLIP","","21258322","validated",NA,NA,NA
"106","mirtarbase","MIMAT0000648","mmu-miR-10a-5p","Ajuba","16475","ENSMUSG00000022178","HITS-CLIP","","21258322","validated",NA,NA,NA
"107","mirtarbase","MIMAT0000648","mmu-miR-10a-5p","Zmat3","22401","ENSMUSG00000027663","HITS-CLIP","","21258322","validated",NA,NA,NA
"108","mirtarbase","MIMAT0000648","mmu-miR-10a-5p","Fam118a","73225","ENSMUSG00000022434","HITS-CLIP","","21258322","validated",NA,NA,NA
"109","mirtarbase","MIMAT0000648","mmu-miR-10a-5p","Ercc6","319955","ENSMUSG00000054051","HITS-CLIP","","21258322","validated",NA,NA,NA
"110","mirtarbase","MIMAT0000648","mmu-miR-10a-5p","Senp5","320213","ENSMUSG00000022772","HITS-CLIP","","21258322","validated",NA,NA,NA
"111","mirtarbase","MIMAT0000648","mmu-miR-10a-5p","Il1rl1","17082","ENSMUSG00000026069","HITS-CLIP","","23597149","validated",NA,NA,NA
"112","mirtarbase","MIMAT0000648","mmu-miR-10a-5p","Lats1","16798","ENSMUSG00000040021","HITS-CLIP","","21258322","validated",NA,NA,NA
"113","mirtarbase","MIMAT0000648","mmu-miR-10a-5p","Tnfrsf10b","21933","ENSMUSG00000022074","HITS-CLIP","","25083871","validated",NA,NA,NA
"114","mirtarbase","MIMAT0000648","mmu-miR-10a-5p","Cdk8","264064","ENSMUSG00000029635","HITS-CLIP","","25083871","validated",NA,NA,NA
"115","mirtarbase","MIMAT0000648","mmu-miR-10a-5p","Rnd1","223881","ENSMUSG00000054855","HITS-CLIP","","21258322","validated",NA,NA,NA
"116","mirtarbase","MIMAT0000648","mmu-miR-10a-5p","Ripor2","193385","ENSMUSG00000036006","HITS-CLIP","","23597149","validated",NA,NA,NA
"117","mirtarbase","MIMAT0000667","mmu-miR-33-5p","Hmga2","15364","ENSMUSG00000056758","Immunofluorescence//Luciferase reporter assay//qRT-PCR//Western blot","","26980108","validated",NA,NA,NA
"118","mirtarbase","MIMAT0000657","mmu-miR-200c-3p","Senp5","320213","ENSMUSG00000022772","HITS-CLIP","","25083871","validated",NA,NA,NA
