"","database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","support_type","pubmed_id","type","score","disease_drug","paper_pubmedID"
"68","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Ctdsp1","227292","ENSMUSG00000026176","GFP reporter assay//Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Other","","18619591","validated",NA,NA,NA
"69","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Ctdsp1","227292","ENSMUSG00000026176","GFP reporter assay//Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Other","","17679093","validated",NA,NA,NA
"70","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Ctdsp1","227292","ENSMUSG00000026176","GFP reporter assay//Immunohistochemistry//Luciferase reporter assay","Functional MTI","17403776","validated",NA,NA,NA
"71","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Ctdsp1","227292","ENSMUSG00000026176","Luciferase reporter assay//Microarray//qRT-PCR","Functional MTI","18042700","validated",NA,NA,NA
"72","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Ctdsp1","227292","ENSMUSG00000026176","Luciferase reporter assay","Functional MTI","17679093","validated",NA,NA,NA
"73","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Ctdsp1","227292","ENSMUSG00000026176","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"74","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Cdc42","12540","ENSMUSG00000006699","Western blot","","18619591","validated",NA,NA,NA
"75","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Cdc42","12540","ENSMUSG00000006699","Western blot","Functional MTI","18619591","validated",NA,NA,NA
"76","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Fadd","14082","ENSMUSG00000031077","Microarray","","18619591","validated",NA,NA,NA
"77","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Fadd","14082","ENSMUSG00000031077","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"78","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Ripk1","19766","ENSMUSG00000021408","Microarray","","18619591","validated",NA,NA,NA
"79","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Ripk1","19766","ENSMUSG00000021408","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"80","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Cdk6","12571","ENSMUSG00000040274","Other","","18577219","validated",NA,NA,NA
"81","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Cxcl12","20315","ENSMUSG00000061353","Microarray","","18619591","validated",NA,NA,NA
"82","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Cxcl12","20315","ENSMUSG00000061353","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"83","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Tcf7l2","21416","ENSMUSG00000024985","Microarray","","18619591","validated",NA,NA,NA
"84","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Tcf7l2","21416","ENSMUSG00000024985","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"85","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Sox9","20682","ENSMUSG00000000567","Luciferase reporter assay//Other","","19287386","validated",NA,NA,NA
"86","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Sox9","20682","ENSMUSG00000000567","Luciferase reporter assay","Functional MTI","19287386","validated",NA,NA,NA
"87","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Arpc3","56378","ENSMUSG00000029465","Microarray","","18619591","validated",NA,NA,NA
"88","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Arpc3","56378","ENSMUSG00000029465","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"89","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Ppp1ca","19045","ENSMUSG00000040385","Microarray","","18619591","validated",NA,NA,NA
"90","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Ppp1ca","19045","ENSMUSG00000040385","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"91","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Adam17","11491","ENSMUSG00000052593","Microarray","","18619591","validated",NA,NA,NA
