"","X","target_id","D0_PF_1","D0_PF_2","D7_PF_1","D7_PF_2","D0_SAG_1","D0_SAG_2","D7_SAG_1","D7_SAG_2","Trend"
"150",220,"Hcls1",79.09897,93.4087,1638.983,2134.79,18.67795445,17.50360544,319.1919956,569.923153,"UBT"
"151",221,"Nid2",4760.049,4256.892,14891.09,15717.48,3850.118394,3764.904381,17944.7639,17816.34568,"UBT"
"152",223,"Il21r",27.19492,27.1373,690.6617,880.0333,17.35480588,13.71771724,79.25171783,130.0263053,"UBT"
"153",226,"Ifi203",52.47951,51.61024,1314.607,1329.162,31.80333976,24.93649091,728.2790199,417.6342762,"UBT"
"154",227,"Pid1",503.3454,541.3197,1684.225,1786.013,642.4493565,566.8219527,1230.087594,1135.835943,"UBT"
"155",228,"Frmd4b",63.97120014,52.90105903,1957.151196,2710.681772,53.89098294,62.48787148,411.5215446,591.3573282,"UBT"
"156",229,"Gyg",2054.087,2042.118,6477.099,7334.579,1789.836466,1758.71335,3755.409416,3523.428035,"UBT"
"157",230,"Shtn1",67.32751,66.72682,1232.813,1688.293,50.23503832,46.37347918,222.9124464,320.8522038,"UBT"
"158",231,"Olfml1",13.48191,12.45898,1417.655,1223.136,16.6123767,6.470574992,1378.116686,1319.446249,"UBT"
"159",232,"Abca9",406.9205551,405.5297048,1477.558787,1463.3458,319.9950626,294.5355187,1516.281648,1441.911308,"UBT"
"160",233,"Fyb",31.75984505,29.46772833,489.545988,654.2305187,19.28180244,15.19762526,97.9457318,158.5916136,"UBT"
"161",234,"Aldh3b1",195.038325,199.3437509,1485.593359,1847.520036,144.6253972,115.545982,488.7384899,606.9452746,"UBT"
"162",237,"Cd48",52.21277287,41.76600032,1852.652746,2572.324125,15.85504421,15.78940948,264.1668697,460.975585,"UBT"
"163",241,"Lcp1",147.3699,153.3414,3025.331,4184.643,56.26239504,41.51994933,583.2900096,1057.652344,"UBT"
"164",244,"Evi2b",95.21409042,101.9688619,1551.844446,2080.990358,36.2679058,30.95205697,300.2644086,534.7587919,"UBT"
