D0_SAG_1,D0_SAG_2,D7_SAG_1,D7_SAG_2,target_id
160.7728936,166.6778334,121.0368998,147.5457034,Rtn4ip1
191.5309314,189.4954105,92.29396376,84.44455994,Rtn4r
196.4169246,220.9239176,121.660225,92.88901593,Rtn4rl1
56.81836422,37.30321807,8.062941293,3.676499475,Rtn4rl2
0,0,0,0,Rtp1
0,0,0,0,Rtp2
8.829342221,7.268077632,4.404514272,7.503520097,Rtp3
157.6954817,132.4924043,2718.88962,2237.140881,Rtp4
2155.168049,2073.978659,2929.499878,3232.115957,Rtraf
335.17913,351.2597853,278.9794814,282.8892758,Rttn
1294.362419,1450.945196,1176.899417,1068.001872,Rubcn
23.45276711,40.67218566,41.95180171,71.77787595,Rubcnl
129.9594719,135.847867,248.9106785,257.3296277,Rufy1
534.5267969,493.8509039,615.9772801,718.2619508,Rufy2
411.9739361,470.943189,471.0743439,473.3800308,Rufy3
16.16254531,19.64325977,18.64941092,20.58398866,Rufy4
730.9448385,779.8032306,857.6086375,915.039182,Rundc1
50.24670266,48.47300908,43.75909601,40.81825698,Rundc3a
10.68738651,8.371485058,9.279042184,11.69189132,Rundc3b
1393.129576,1200.137008,662.0204734,650.8939942,Runx1
418.9291194,338.1447738,430.3555294,492.4476758,Runx1t1
980.577458,876.9163448,1336.287393,1462.305799,Runx2
26.06046578,21.9552802,26.21655884,66.97638183,Runx3
628.8839009,693.9179612,944.5245249,834.4340266,Rusc1
696.3668759,723.0225534,347.9494041,350.3977411,Rusc2
1173.516807,1160.313521,1342.703322,1437.618759,Ruvbl1
585.3072569,603.0835614,423.5542004,460.604065,Ruvbl2
1222.909341,1178.139285,1191.054406,1321.823717,Rwdd1
46.62174645,47.77748837,85.99511895,111.3443182,Rwdd2a
161.7660578,150.6770511,193.3667265,195.4192936,Rwdd2b
88.9543959,108.0463765,127.662174,160.8532391,Rwdd3
865.0045326,768.5883107,594.1574202,705.9956924,Rwdd4a
6.970851201,9.037933971,4.76985793,7.686052482,Rxfp1
0,1.975038197,0,0,Rxfp2
32.24755478,38.82344995,18.87831077,15.83335499,Rxfp3
0,0,0,0,Rxfp4
1499.414541,1508.065726,2393.80094,2288.642881,Rxra
565.9192857,521.8237847,566.9623789,599.227499,Rxrb
4.15354164,3.19672496,9.886577513,12.75452886,Rxrg
150.0360548,149.2396242,149.6710289,131.4430171,Rybp
0,0,0,0,Rybp-ps
4496.20325,4615.325096,3112.15807,3005.218478,Ryk
0,0,0,0,Ryk-ps1
8.773860145,7.166543719,10.91590866,4.369399716,Ryr1
27.00638007,15.15826235,16.57915952,12.05792766,Ryr2
24.61485635,45.40226488,39.26146513,60.22564554,Ryr3
273.7201223,255.8317391,677.4116163,923.6420045,S100a1
4993.867541,4944.895601,6388.499111,6741.677235,S100a10
18773.67505,18594.55877,24439.1633,25365.19292,S100a11
0,0,0,0,S100a11-ps
858.9575955,816.2168169,1148.430572,1374.335213,S100a13
1.088387372,0,4.782503737,3.470152886,S100a14
1003.236837,948.0343152,1636.168083,1677.986692,S100a16
0.97719863,0.924367856,0,0,S100a2
47.20908666,56.02190484,12.13654578,12.39426301,S100a3
8482.284294,8598.939319,4693.871999,5505.259659,S100a4
1.005174286,1.90206272,2.155431727,0,S100a5
22450.36538,22686.21322,10277.50228,10416.83879,S100a6
38.05423123,32.90805082,2.78005576,27.46546866,S100a7a
11.05847059,15.21396354,0,2.167750748,S100a8
9.91758551,21.12502706,0,0,S100a9
62.5407123,72.10069277,248.5644251,234.3336538,S100b
0,0.924367856,0,0,S100g
660.3827648,655.0606484,670.7208484,564.5614954,S100pbp
0,0,1.048795043,0,S100z
943.7352997,862.4352097,2699.59844,3495.947055,S1pr1
421.8626769,403.765529,442.7265167,437.2390524,S1pr2
1286.970595,1276.552009,5331.025202,3574.115999,S1pr3
0.977238353,0.931747806,0,2.111113999,S1pr4
