ID,D0SAG1,D0SAG2,D7SAG1,D7SAG2
mmu-miR-7077-5p,0,0,0,1
mmu-miR-7077-3p,0,1,0,0
mmu-miR-7075-3p,0,0,2,0
mmu-miR-7074-3p,6,3,4,3
mmu-miR-7073-5p,2,9,7,1
mmu-miR-7073-3p,0,1,0,1
mmu-miR-7072-5p,0,0,0,1
mmu-miR-7071-5p,2,1,0,1
mmu-miR-7071-3p,0,0,0,0
mmu-miR-7070-5p,2,0,0,0
mmu-miR-7070-3p,3,0,3,4
mmu-miR-7069-5p,20,19,5,12
mmu-miR-7069-3p,1,2,3,1
mmu-miR-7068-5p,1,0,0,1
mmu-miR-7068-3p,12,9,14,10
mmu-miR-7067-5p,0,1,0,0
mmu-miR-7067-3p,0,1,1,0
mmu-miR-7065-5p,0,0,0,0
mmu-miR-7065-3p,1,2,3,3
mmu-miR-7064-5p,8,11,4,0
mmu-miR-7063-5p,19,9,4,1
mmu-miR-7063-3p,0,0,0,0
mmu-miR-7062-5p,6,4,10,9
mmu-miR-7062-3p,0,0,4,0
mmu-miR-7061-5p,3,7,9,1
mmu-miR-7061-3p,0,0,0,0
mmu-miR-7060-5p,0,0,0,1
mmu-miR-7060-3p,0,0,0,0
mmu-miR-706,1,1,1,0
mmu-miR-7059-5p,4,4,5,5
mmu-miR-7059-3p,0,0,0,0
mmu-miR-7058-5p,0,1,0,0
mmu-miR-7057-5p,2,1,3,0
mmu-miR-7057-3p,0,9,7,10
mmu-miR-7054-5p,3,7,0,5
mmu-miR-7054-3p,0,0,0,1
mmu-miR-7052-5p,4,1,2,1
mmu-miR-7052-3p,1,0,0,0
mmu-miR-7051-5p,2,3,0,0
mmu-miR-7051-3p,0,0,0,0
mmu-miR-7050-5p,0,1,0,0
mmu-miR-7049-5p,1,3,2,4
mmu-miR-7048-3p,0,0,0,0
mmu-miR-7047-5p,0,0,0,0
mmu-miR-7046-5p,3,0,0,0
mmu-miR-7046-3p,1,1,0,1
mmu-miR-7045-5p,0,0,0,0
mmu-miR-7045-3p,1,3,0,3
mmu-miR-7044-5p,0,0,0,0
mmu-miR-7043-5p,0,1,3,0
mmu-miR-7043-3p,3,2,1,2
mmu-miR-7042-5p,16,2,2,1
mmu-miR-7042-3p,0,1,0,0
mmu-miR-7041-5p,2,2,0,0
mmu-miR-7041-3p,0,1,0,0
mmu-miR-7040-5p,1,2,6,3
mmu-miR-7040-3p,1,0,1,0
mmu-miR-704,2,0,1,1
mmu-miR-7039-5p,4,3,0,2
mmu-miR-7038-5p,3,1,0,0
mmu-miR-7038-3p,1,2,3,0
